vehicle_type,vehicle_manoeuvre,junction_location,skidding_and_overturning,hit_object_in_carriageway,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_of_vehicle,driver_home_area_type,casualty_class,sex_of_casualty,age_of_casualty,casualty_severity
Car,Turning left,Approaching junction or waiting,Skidded,Other object,Other,Male,55,13,Urban area,Driver or rider,Male,25,survived
Car,Waiting to go ,Leaving main road,Skidded,Other object,from work,Male,24,6,Rural,Passenger,Male,21,survived
Car,Moving off,Cleared junction or waiting,Skidded,Other object,Other,Female,31,10,Urban area,Driver or rider,Female,46,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,23,10,Small town,Driver or rider,Male,23,survived
Motorcycle ,Reversing,Approaching junction or waiting,Skidded,Other object,Other,Male,23,2,unknown,Driver or rider,Male,23,Died
Pedal cycle,Going ahead other,Leaving main road,Skidded,Other object,from work,Male,46,7,Urban area,Driver or rider,Male,46,Died
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,22,11,Small town,Driver or rider,Female,22,survived
Car,Waiting to go ,Mid Junction ,Skidded,Other object,Other,Female,45,7,Rural,Driver or rider,Female,45,survived
Van ,Turning right,Leaving main road,Skidded,Other object,Journey as part of work,Male,19,1,Urban area,Driver or rider,Male,19,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,47,11,Urban area,Passenger,Female,14,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,67,7,Urban area,Driver or rider,Male,67,survived
